"Date
of
Finan-
cial
Period
Before
Offer","Issue
Date",Issuer,Business Description,Nation,"Ticker
Symbol","Primary
Exchange
Where
Issuer's
Stock
Trades","Principal
Amount
($ mil)","Proceeds
Amt - in 
this Mkt
($ mil)","   Offer
   Price","Type
of
Security","Amt Filed - 
in this Mkt 
($ mil)","IPO
Flag
(Y/N)","Total Revenues
Before Offering
(US$ mil)",Net Income,Net Income Margin,Selling and Marketing,Total Operating Expenses,Long-Term Debt,"  Total
  Assets
  Before
   the
 Offering
  ($ mil)","Market
Value
Before
Offer
($ mil)"," Market
 Value
  Pro
 Forma
 Offer
($ mil)","   Book
  Value
   Per
  Share","IPO:
Offer
Date","IPO
Flag
(Y/N)","% Change
Stock
Price
180 Days
After
Offer","  Stock
  Price
 180 Days
  After
  Offer"
3/31/09,4/14/09,Bridgepoint Education Inc,"Own,operate college,university",United States,BPI,New York,141.75,141.8,10.5,Common Shares,230,Yes,195.2,5.1,2.6%,68.8,186.2,,170.2,406.2,547.9,1.6,4/14/09,Yes,60.67,16.87
3/31/09,5/13/09,DigitalGlobe Inc,Pvd satellite based imaging,United States,DGI,New York,279.3,279.3,19,Common Shares,250,Yes,275.2,53.8,19.5%,,180.3,274.6,"1,012.00",573.2,852.5,9.94,5/13/09,Yes,24.16,23.59
3/31/09,5/19/09,SolarWinds Inc,Develop network mgmt software,United States,SWI,New York,151.453,151.5,12.5,Common Shares,250,Yes,,,#DIV/0!,,,,89.1,650.9,802.3,0.82,5/19/09,Yes,56.24,19.53
3/31/09,5/21/09,OpenTable Inc,Pvd online reservation svcs,United States,OPEN,Nasdaq,60,60,20,Common Shares,40,Yes,58.6,,0.0%,,,,51.5,372.1,432.1,3.01,5/21/09,Yes,30,26
3/31/09,6/24/09,Medidata Solutions Inc,Pvd clinical dvlp solutions,United States,MDSO,Nasdaq,88.2,88.2,14,Common Shares,86.3,Yes,,,#DIV/0!,,,,79.6,224.8,313,0.64,6/24/09,Yes,7.5,15.05
6/30/09,6/30/09,LogMeIn Inc,Develop software solutions,United States,LOGM,Nasdaq,106.667,106.7,16,Common Shares,86.3,Yes,,,#DIV/0!,,,,47.2,235.5,342.1,4.39,6/30/09,Yes,24.5,19.92
6/30/09,8/10/09,Cumberland Pharmaceuticals Inc,Manufacture pharmaceuticals,United States,CPIX,Nasdaq,85,85,17,Common Shares,115,Yes,37.6,,0.0%,,,,32.3,205.6,290.6,4.14,8/10/09,Yes,-32.88,11.41
12/31/08,9/23/09,A123 Systems Inc,"Mnfr,whl lithium-ion batteries",United States,AONE,Nasdaq,380.437,380.4,13.5,Common Shares,175,Yes,68.5,,0.0%,,,,610.1,945,"1,325.40",5.58,9/23/09,Yes,14,15.39
9/30/09,10/1/09,Echo Global Logistics Inc,Pvd transp management svcs,United States,ECHO,Nasdaq,79.8,79.8,14,Common Shares,100,Yes,234.1,,0.0%,,,,80.2,221.1,300.9,4.36,10/1/09,Yes,-7.79,12.91
9/30/09,11/17/09,Fortinet Inc,Mnfr computer security hardwar,United States,FTNT,Nasdaq,156.25,156.3,12.5,Common Shares,100,Yes,,,#DIV/0!,,,,230.5,654.9,804.9,2.21,11/17/09,Yes,34,16.75
