,Date.of.Finan..cial.Period.Before.Offer,Issue.Date,Issuer,Business.Description,Nation,Ticker.Symbol,Principal.Amount....mil.,Proceeds,Offer.Price,Type.of.Security,IPO.Flag..Y.N.,Notable.VC,Investment.Bank..Lead.Left.,Additional.Lead.Underwriters,Total.VC.Funding.Raised,Age.of.Firm,Total.Revenues.in.Previous.Year,Total.Revenues.Last.Reported,Selling.and.Marketing,Total.Operating.Expenses,Net.Income,Net.Income.Margin,Long.Term.Debt,Total.Assets,Long.Term.Debt.to.Total.Asset.Ratio,market_performance,VIX_before,OneDayChange,FirstDayClose
1,3/31/09,4/14/09,Bridgepoint Education Inc,"Own,operate college,university",United States,BPI,141.75,141.80,10.50,Common Shares,Yes,"Warburg Pincus LLC
Warburg Pincus LLC
Warburg Pincus LLC
Venturetek International
Undisclosed Firm
Undisclosed Firm
Warburg Pincus LLC
Warburg Pincus LLC
Warburg Pincus LLC
Warburg Pincus LLC",Bank of America,1,14073.00,NA,85.709,218.29,68.8,184.87,26.431,0.121082047,0.23,170.20,0.14%,0.111916648,37.669998,0.095238095,11.5
2,3/31/09,5/13/09,DigitalGlobe Inc,Pvd satellite based imaging,United States,DGI,279.30,279.30,19.00,Common Shares,Yes,"Technology Venture Investors
Burr Egan Deleage And Co
Morgan Stanley Private Equity
Undisclosed Firm
Burr Egan Deleage And Co
Burr Egan Deleage And Co
Burr Egan Deleage And Co
Technology Venture Investors
Burr Egan Deleage And Co
Technology Venture Investors
Undisclosed Firm",Morgan Stanley,1,2544.00,NA,151.7,275.2,28.5,180.3,53.8,0.195494186,274.6,1012.00,27.13%,0.033205149,33.650002,0.175789474,22.34
3,3/31/09,5/19/09,SolarWinds Inc,Develop network mgmt software,United States,SWI,151.45,151.50,12.50,Common Shares,Yes,"Silver Lake Partners LP
Silver Lake Partners LP
Thoma Bravo LLC
Thoma Bravo LLC
Thoma Bravo LLC
Silver Lake Partners LP
Silver Lake Partners LP
Thoma Bravo LLC
Insight Venture Management LLC
Undisclosed Firm
Silver Lake Partners LP
HarbourVest Partners LLC
Undisclosed Firm
HarbourVest Partners LLC
HarbourVest Partners LLC
HarbourVest Partners LLC
HarbourVest Partners LLC
HarbourVest Partners LLC
Insight Venture Management LLC
Insight Venture Management LLC
Insight Venture Management LLC
Bain Capital LP
Avp Management Services Inc
Thoma Bravo LLC
Insight Venture Management LLC
Thoma Bravo LLC
Silver Lake Partners LP
HarbourVest Partners LLC
HarbourVest Partners LLC
HarbourVest Partners LLC
HarbourVest Partners LLC
HarbourVest Partners LLC",Goldman Sachs,3,171837.00,NA,38.234,61.735,22.7,28.571,13.607,0.220409816,93.922,86.91,108.07%,0.092173115,28.799999,0.1,13.75
4,3/31/09,5/21/09,OpenTable Inc,Pvd online reservation svcs,United States,OPEN,60.00,60.00,20.00,Common Shares,Yes,"Draper Richards LP
Venture Frogs LLC
Undisclosed Firm
Draper Richards LP
Arba Seed Investment Group
Undisclosed Firm
Angel Investors, LP
Draper Richards LP
Undisclosed Firm
Undisclosed Firm
Upstart Capital LP
Windspeed Ventures
Undisclosed Firm
Integral Capital Partners
Impact Venture Inc
Benchmark Capital
Prescient Capital LLC
Impact Venture Inc
Benchmark Capital",Bank of America,2,110398.10,NA,29.36,41.3,11.3,41,-0.15,-0.003631961,0,51.50,0.00%,0.048789103,31.35,0.45,29
5,3/31/09,6/24/09,Medidata Solutions Inc,Pvd clinical dvlp solutions,United States,MDSO,88.20,88.20,14.00,Common Shares,Yes,"Tribeca Venture Partners LLC
Globalnet Management LLC
Stonehenge Capital Company, LLC
Lambda Fund Management Inc
Milestone Venture Partners
Insight Venture Management LLC
Tribeca Venture Partners LLC
Tribeca Venture Partners LLC
Milestone Venture Partners
Stonehenge Capital Company, LLC
Globalnet Management LLC
Lambda Fund Management Inc",Citigroup,2,21699.90,NA,34.678,54.5,18.1,52.3,-8.04,-0.147522936,14.45,79.60,18.15%,-0.012924425,29.049999,0.192857143,16.7
6,6/30/09,6/30/09,LogMeIn Inc,Develop software solutions,United States,LOGM,106.67,106.70,16.00,Common Shares,Yes,"Undisclosed Firm
Integral Capital Partners
Prism Ventureworks
3TS Capital Partners, Ltd.
Polaris Growth Management LLC
Polaris Growth Management LLC
3i Group PLC
Integral Capital Partners
Undisclosed Firm
Prism Ventureworks
Intel Capital Corp
Francisco Partners LP
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Elliott Management Corp
Prism Ventureworks
3TS Capital Partners, Ltd.
Integral Capital Partners
3TS Capital Partners, Ltd.
Undisclosed Firm
Undisclosed Firm",JP Morgan,1,4380204.80,NA,26.998,51.723,8.45,51.139,-5.402,-0.104440964,0,47.20,0.00%,-0.029756253,26.35,0.25125,20.02
7,12/31/08,9/23/09,A123 Systems Inc,"Mnfr,whl lithium-ion batteries",United States,AONE,380.44,380.40,13.50,Common Shares,Yes,"Boston University Technology Development Fund
AllianceBernstein LP
GE Commercial Finance - Equity
Qualcomm Ventures
Sequoia Capital Operations LLC
North Bridge Venture Partners LP
North Bridge Venture Partners LP
Motorola Solutions Venture Capital
Undisclosed Firm
GE Commercial Finance - Equity
Procter & Gamble Co
Sequoia Capital Operations LLC
Alliance Capital Partners
Massachusetts Institute of Technology
Qualcomm Ventures
OnPoint Technologies
Motorola Solutions Venture Capital
Undisclosed Firm
Fa Technology Ventures Corp
CMEA Development Company LLC
North Bridge Venture Partners LP
Alliance Capital Partners
GE Commercial Finance - Equity
Qualcomm Ventures
North Bridge Venture Partners LP
Sequoia Capital Operations LLC
Fa Technology Ventures Corp
Motorola Solutions Venture Capital
Massachusetts Institute of Technology
OnPoint Technologies
YankeeTek Ventures
Undisclosed Firm
GE Commercial Finance - Equity
Qualcomm Ventures
Motorola Solutions Venture Capital
Undisclosed Firm
Qualcomm Ventures
North Bridge Venture Partners LP
Procter & Gamble Co
GE Commercial Finance - Equity
Alliance Capital Partners
Fa Technology Ventures Corp
North Bridge Venture Partners LP
Sequoia Capital Operations LLC
OnPoint Technologies
Massachusetts Institute of Technology
Motorola Solutions Venture Capital
North Bridge Venture Partners LP
CMEA Development Company LLC
GE Commercial Finance - Equity
YankeeTek Ventures
Undisclosed Firm
Motorola Solutions Venture Capital
North Bridge Venture Partners LP
North Bridge Venture Partners LP
OnPoint Technologies
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Qualcomm Ventures
Massachusetts Institute of Technology
Qualcomm Ventures
Undisclosed Firm
Sequoia Capital Operations LLC
AllianceBernstein LP
Undisclosed Firm
Armilar Venture Partners Sociedade de Capital de Risco SA
Novus Ventures
YankeeTek Ventures
YankeeTek Ventures",Morgan Stanley,1,246172.30,NA,28.346,41.349,4.3,30.884,-30.97,-0.748990302,5.22,610.10,0.86%,0.031274291,23.49,0.502962963,20.29
8,9/30/09,10/1/09,Echo Global Logistics Inc,Pvd transp management svcs,United States,ECHO,79.80,79.80,14.00,Common Shares,Yes,"Undisclosed Firm
Undisclosed Firm
New Enterprise Associates Inc
Undisclosed Firm",Morgan Stanley,1,17400.00,NA,95.461,202.8,NA,38.15,2.88,0.014201183,10.21,80.20,12.73%,0.027644751,28.27,0.004285714,14.06
9,9/30/09,11/17/09,Fortinet Inc,Mnfr computer security hardwar,United States,FTNT,156.25,156.30,12.50,Common Shares,Yes,"Undisclosed Firm
Defta Venture Partners LLC
Redpoint Ventures
Redpoint Ventures
Acorn Campus Ventures
Defta Venture Partners LLC
Meritech Capital Partners
Meritech Capital Partners
WI Harper Group Inc
DCM Ventures
Meritech Capital Partners
Redpoint Ventures",Morgan Stanley,1,83650.00,NA,155.366,211.8,87.7,141.39,1.89,0.008923513,0,230.50,0.00%,0.014117816,22.41,-0.3352,8.31
10,6/30/09,2/10/10,QuinStreet Inc,Pvd online marketing services,United States,QNST,150.00,150.00,15.00,Common Shares,Yes,"Sutter Hill Ventures
Undisclosed Firm
Rosewood Capital LLC
Leland Stanford Junior University
St Paul Venture Capital Inc
Cooley LLP
CROPS Inc (Pre-Reincorporation)
GGV Capital
GGV Capital
Undisclosed Firm
Undisclosed Firm
Catterton Partners Corp
Sutter Hill Ventures
Venture Strategy Partners LP
St Paul Venture Capital Inc
Rosewood Capital LLC
J & W Seligman and Co Inc
Undisclosed Firm",Credit Suisse,3,59000.10,NA,192.03,260.5,16.15,44.21,17.27,0.066295585,12.89,211.40,6.10%,-0.067288423,25.4,0,15
